Time[s], Channel 0, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7
0.000000000000000, 1, 1, 1, 1, 1, 1, 1, 1
2.468126583333333, 1, 1, 0, 1, 1, 1, 1, 1
2.468126666666667, 0, 1, 0, 1, 1, 1, 1, 1
2.497160500000000, 0, 1, 1, 1, 1, 1, 1, 1
2.497160833333333, 0, 0, 1, 1, 1, 1, 1, 1
2.790132916666667, 0, 1, 1, 1, 1, 1, 1, 1
2.790134000000000, 1, 1, 1, 1, 1, 1, 1, 1
2.790134666666667, 0, 1, 1, 1, 1, 1, 1, 1
2.790137000000000, 0, 1, 0, 1, 1, 1, 1, 1
2.790482083333333, 0, 1, 1, 1, 1, 1, 1, 1
2.790482166666667, 0, 0, 1, 1, 1, 1, 1, 1
2.790560083333334, 0, 1, 1, 1, 1, 1, 1, 1
2.790561166666667, 0, 1, 0, 1, 1, 1, 1, 1
2.790586083333333, 0, 1, 1, 1, 1, 1, 1, 1
2.790586166666667, 0, 0, 1, 1, 1, 1, 1, 1
2.790612083333333, 0, 1, 1, 1, 1, 1, 1, 1
2.790613166666667, 0, 1, 0, 1, 1, 1, 1, 1
2.790690083333334, 0, 1, 1, 1, 1, 1, 1, 1
2.790690166666667, 0, 0, 1, 1, 1, 1, 1, 1
2.790716083333333, 0, 1, 1, 1, 1, 1, 1, 1
2.790717166666667, 0, 1, 0, 1, 1, 1, 1, 1
2.790768083333333, 0, 1, 1, 1, 1, 1, 1, 1
2.790768166666667, 0, 0, 1, 1, 1, 1, 1, 1
2.790794083333334, 0, 1, 1, 1, 1, 1, 1, 1
2.790795166666667, 0, 1, 0, 1, 1, 1, 1, 1
2.790820166666667, 0, 0, 1, 1, 1, 1, 1, 1
2.790976166666667, 0, 1, 1, 1, 1, 1, 1, 1
2.790977166666667, 0, 1, 0, 1, 1, 1, 1, 1
2.791054166666667, 0, 1, 1, 1, 1, 1, 1, 1
2.791054250000000, 0, 0, 1, 1, 1, 1, 1, 1
2.791080166666667, 0, 1, 1, 1, 1, 1, 1, 1
2.791081166666667, 0, 1, 0, 1, 1, 1, 1, 1
2.791106166666667, 0, 1, 1, 1, 1, 1, 1, 1
2.791106250000000, 0, 0, 1, 1, 1, 1, 1, 1
2.791132166666667, 0, 1, 1, 1, 1, 1, 1, 1
2.791133250000000, 0, 1, 0, 1, 1, 1, 1, 1
2.791184166666667, 0, 1, 1, 1, 1, 1, 1, 1
2.791184250000000, 0, 0, 1, 1, 1, 1, 1, 1
2.791262166666667, 0, 1, 1, 1, 1, 1, 1, 1
2.791263250000000, 0, 1, 0, 1, 1, 1, 1, 1
2.791340166666667, 0, 1, 1, 1, 1, 1, 1, 1
2.791340250000000, 0, 0, 1, 1, 1, 1, 1, 1
2.791366166666667, 0, 1, 1, 1, 1, 1, 1, 1
2.791367250000000, 0, 1, 0, 1, 1, 1, 1, 1
2.791418166666667, 0, 1, 1, 1, 1, 1, 1, 1
2.791418250000000, 0, 0, 1, 1, 1, 1, 1, 1
2.791548166666667, 0, 1, 1, 1, 1, 1, 1, 1
2.791549250000000, 0, 1, 0, 1, 1, 1, 1, 1
2.791626166666667, 0, 1, 1, 1, 1, 1, 1, 1
2.791626250000000, 0, 0, 1, 1, 1, 1, 1, 1
2.791834166666667, 0, 1, 1, 1, 1, 1, 1, 1
2.791835250000000, 0, 1, 0, 1, 1, 1, 1, 1
2.791912166666667, 0, 1, 1, 1, 1, 1, 1, 1
2.791912250000000, 0, 0, 1, 1, 1, 1, 1, 1
2.791964166666667, 0, 1, 1, 1, 1, 1, 1, 1
2.791965250000000, 0, 1, 0, 1, 1, 1, 1, 1
2.791990250000000, 0, 0, 1, 1, 1, 1, 1, 1
2.792016166666667, 0, 1, 1, 1, 1, 1, 1, 1
2.792017250000000, 0, 1, 0, 1, 1, 1, 1, 1
2.792068250000000, 0, 0, 1, 1, 1, 1, 1, 1
2.792120250000000, 0, 1, 1, 1, 1, 1, 1, 1
2.792121250000000, 0, 1, 0, 1, 1, 1, 1, 1
2.792198250000000, 0, 1, 1, 1, 1, 1, 1, 1
2.792198333333333, 0, 0, 1, 1, 1, 1, 1, 1
2.792224250000000, 0, 1, 1, 1, 1, 1, 1, 1
2.792225333333334, 0, 1, 0, 1, 1, 1, 1, 1
2.792354250000000, 0, 1, 1, 1, 1, 1, 1, 1
